2025-05-11 10:40:55.131 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-11 10:40:55.182 [main] INFO  top.xym.ContentApplication - Starting ContentApplication using Java 17.0.12 with PID 26912 (D:\Downloads\houduan\MicroService_Learning\xym-cloud\xym-cloud-content\target\classes started by 12862 in D:\Downloads\houduan\MicroService_Learning\xym-cloud)
2025-05-11 10:40:55.183 [main] INFO  top.xym.ContentApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-11 10:40:55.226 [main] INFO  c.a.cloud.nacos.configdata.NacosConfigDataLoader - [Nacos Config] Load config[dataId=common.yaml, group=DEFAULT_GROUP] success
2025-05-11 10:40:55.226 [main] INFO  c.a.cloud.nacos.configdata.NacosConfigDataLoader - [Nacos Config] Load config[dataId=datasource.yaml, group=DEFAULT_GROUP] success
2025-05-11 10:40:55.528 [com.alibaba.nacos.client.remote.worker.1] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:127.0.0.1 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-05-11 10:40:55.540 [com.alibaba.nacos.client.remote.worker.1] INFO  com.alibaba.nacos.common.remote.client - [cb531f17-5a3d-4bf6-96f0-36c559ddf6ed_config-0] Fail to connect server, after trying 5 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2025-05-11 10:40:56.153 [com.alibaba.nacos.client.remote.worker.1] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:127.0.0.1 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-05-11 10:40:56.158 [com.alibaba.nacos.client.remote.worker.1] INFO  com.alibaba.nacos.common.remote.client - [cb531f17-5a3d-4bf6-96f0-36c559ddf6ed_config-0] Fail to connect server, after trying 6 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2025-05-11 10:40:56.872 [com.alibaba.nacos.client.remote.worker.1] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:127.0.0.1 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-05-11 10:40:56.876 [com.alibaba.nacos.client.remote.worker.1] INFO  com.alibaba.nacos.common.remote.client - [cb531f17-5a3d-4bf6-96f0-36c559ddf6ed_config-0] Fail to connect server, after trying 7 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
2025-05-11 10:40:57.126 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-11 10:40:57.129 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-05-11 10:40:57.172 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
2025-05-11 10:40:57.460 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=3e62ec5f-7bcd-354a-be4d-49aa7f0b8954
